Day_Name | Day_Title                 | Video_names                                                       | Video_links               | Code_Buddy_ID | Include_Setup | Practice_displays              | Practice_links                                                                      | Description
Day 1    | Getting Started           | My Introduction; Introduction to CS 110                           | 14WS_bHXm_M; uVlKzVlNbjM  |               | Truthy        | Lab 0; Homework 0              | labs/lab0-getting-started; homework/homework0-getting-started                       | Welcome to class!  We will have these assignments for each day.  Each will have a video, a lab and a homework.  These are due by midnight on the next Monday or Wednesday. After you complete each homework and project, you should fill out the assignment survey (for extra credit). The assignment survey helps us know how well you are understanding the material and how the homework and projects are going.
Day 2    | Introduction to Bit       | Introduction to Bit                                               | 7Lo8A69q9gA               | 1240          | Truthy        | Lab 1a; Homework 1a            | labs/lab1a-introduction-to-bit; homework/homework1a-introduction-to-bit             | This week we are adding a CodeBuddy experience. This will give you hands on practice with concepts that are explained in the lecture video and will help you know quickly if you are understanding the material. It is also a great preparation for the midterm and final.  At the end of the semester, I will assign up to 2 extra credit points based on the percent of the CodeBuddy material you have completed.  Here's how you <a href="https://docs.google.com/document/d/1bQ5p47oM5JoO_NqOw9ZvuG1WMS9M12SqkVcEGEpNYSQ/edit">set up your CodeBuddy account</a>.
Day 3    | Functions                 | Functions                                                         | w7FnI0g1KhM               | 1241          | Truthy        | Lab 1b; Homework 1b            | labs/lab1b-functions; homework/homework1b-functions                                 |
Day 4    | While                     | While                                                             | Agu4wj-HFpU               | 1242          | Truthy        | Lab 1c; Homework 1c; Project 1 | labs/lab1c-while; homework/homework1c-while; projects/project1-bit                  | Project 1 is due
Day 5    | If and Else               | If and Else                                                       | ZZkPV_4ehaY               | 1243          |               | Lab 2a; Homework 2a            | labs/lab2a-if; homework/homework2a-if                                               |
Day 6    | Conditions, And, Or       | Conditions, And, Or                                               | O5EEWG7N7a0               | 1244          |               | Lab 2b, Homework 2b            | labs/lab2b-conditions; homework/homework2b-conditions                               |
Day 7    | Decomposition             | Decomposition                                                     | Ji1fnZzXk18               | 1245          |               | Lab 2c, Homework 2c            | labs/lab2c-decomposition; homework/homework2c-decomposition                         |
Day 8    | Variables                 | Variables                                                         | 9peFLp_sq2Y               | 1246          |               | Lab 2d, Homework 2d; Project 2 | labs/lab2d-variables; homework/homework2d-variables; projects/project2-bit-problems | Project 2 is due
Day 9    | Interactive Programs      | Interactive Programs                                              | DcfVBwyR2Tk               | 1247          |               | Lab 3a; Homework 3a            | labs/lab3a-interactive-programs; homework/homework3a-interactive-programs           |
Day 10   | Input Loops               | Input Loops                                                       | 3AYM7G7hqUY               | 1248          |               | Lab 3b; Homework 3b            | labs/lab3b-input-loops; homework/homework3b-input-loops                             |
Day 11   | Lists                     | Lists Video; Additional Video about using nested loops with lists | GPs5m9yL21g; _Zou-8Wkt84  | 1249          |               | Lab 3c; Homework 3c            | labs/lab3c-lists; homework/homework3c-lists                                         |
Day 12   | List Patterns             | List Patterns                                                     | f6-Zmv8gf9k               | 1250          |               | Lab 3d; Homework 3d            | labs/lab3d-list-patterns; homework/homework3d-list-patterns                         |
Day 13   | Tuples                    | Tuples                                                            | 6j1KRD5fmAg               | 1251          |               | Lab 3e; Homework 3e            | labs/lab3e-tuples; homework/homework3e-tuples                                       |
Day 14   | Structured Data           | Structured Data                                                   | fIxeQQwmnhA               | 1252          |               | Lab 3f; Homework 3f; Project 3 | labs/lab3f-structured-data; homework/homework3f-structured-data                     | Project 3 is due
Day 15   | Strings                   | Strings                                                           | gUOAtWqsIBI               | 1253          |               | Lab 4a; Homework 4a            | labs/lab4a-strings; homework/homework4a-strings                                     |
Day 16   | Substrings                | Substrings                                                        | ifWEKC2TtnQ               | 1254          |               | Lab 4b; Homework 4b            | labs/lab4b-substrings; homework/homework4b-substrings                               |
Day 17   | Terminal                  | Terminal and program arguments                                    | kZ0-Y-KgG1w               | 1255          |               | Lab 4c; Homework 4c            | labs/lab4c-program-arguments; homework/homework4c-program-arguments                 |
Day 18   | Reading and writing files | Reading and writing files                                         | K-ZXXj943o0               | 1256          |               | Lab 4d; Homework 4d            | labs/lab4d-files; homework/homework4d-files                                         |
Day 19   | Split and Join            | Split and Join                                                    | jpAkeNBOgXY               | 1257          |               | Lab 4e; Homework 4e            | labs/lab4e-split-and-join; homework/homework4e-split-and-join                       |
Day 20   | Random and Coiteration    | Random and Coiteration                                            | UwHlEP7T3Yc               | 1258          |               | Lab 4f; Homework 4f; Project 4 | labs/lab4f-random-and-coiteration; homework/homework4f-random-coiteration           | Project 4 is due
Day 21   | Dictionaries              | Dictionaries                                                      | ZQ6T12m21Nk               | 1259          |               | Lab 5a; Homework 5a            | labs/lab5a-dictionaries; homework/homework5a-dictionaries                           |
Day 22   | Building dictionaries     | Building dictionaries                                             | gGO2_oxlJNg               | 1260          |               | Lab 5b; Homework 5b            | labs/lab5b-building-dictionaries; homework/homework5b-building-dictionaries         |
Day 23   | Counting                  | Counting                                                          | 7nzUtOvm1mE               | 1261          |               | Lab 5c; Homework 5c            | labs/lab5c-counting; homework/homework5c-counting                                   |
Day 24   | Grouping                  | Grouping                                                          | CutHbXTMDos               | 1262          |               | Lab 5d; Homework 5d; Project 5 | labs/lab5d-grouping; homework/homework5d-grouping                                   | Project 5 is due
Day 25   | Indexing                  | List indexing, range, mutability                                  | ilZLoRGmjf4               | 1263          |               | Lab 6a; Homework 6a            | labs/lab6a-mutability; homework/homework6a-mutability                               |
Day 26   | Grids                     | Grids                                                             | -1Ax55jFjV8               | 1264          |               | Lab 6b; Homework 6b            | labs/lab6b-grids; homework/homework6b-grids                                         |
